FSTL1	ASPM
DGKB	BTAF1
GCN5L2	REPS2
DPYS	CD226
TGM3	SPATA2
MTCH1	ATP6V1B1
HK1	CACNG3
PDC	UPK3A
HEXB	XAB2
ORC4L	ATG4B
TCEB3	PSMF1
TNKS	EEF2
CRLF1	FANCI
CDK5R2	NP
WAS	TRAPPC2L
MADD	CNTFR
TUB	TAL1
KLF12	SP3
ARHGEF18	KRT31
HSPA1A	ARID4B
ARRB1	ITIH4
DAPK2	MTDH
EREG	NDRG4
IL17RB	ITK
CENPA	PSMB3
TMED5	DDX58
MCAM	RBP1
CDH6	PPP3CB
POLR3E	CCNL1
OR7C1	SNX13
AQR	DLG4
CAMP	TCF4
GABRA2	BCL2L11
MYL1	NLGN3
TNFSF18	HDAC3
PPIB	OSBP
FRAP1	FXYD1
SFN	TALDO1
SSTR3	TACR2
JMJD1B	ZNF510
RBL2	MST1
CSE1L	GRIP1
TOM1	ITGB1
PTX3	MAPK8IP3
CENPN	CCL2
TMED2	DYNLRB1
ANG	TIMP3
U2AF1	ITIH1
MARCH7	AP4E1
PFKM	ZNF32
SGMS1	PTS
DKC1	PDK2
CREBZF	COPG
DAZ1	PLXNB3
RIOK3	INPP4A
PRPSAP1	HRAS
GCHFR	PGF
UBD	PDE6D
S100A1	SLC7A5
RPL6	FOXC1
DNAJB6	AP4S1
ZNF787	TFPI2
PPT1	MED12
MT1X	BTG2
UBE2B	HOXC10
KEAP1	LIG4
MUC4	CPEB1
MST1	FRAP1
RFC4	EXOSC2
GNB2	UTF1
NUP50	RANBP10
C7	CORO7
S100A8	WARS
RQCD1	NFATC2IP
ARFIP2	CABIN1
UROS	HTR3B
KHDRBS2	WSB1
HOXA7	MIPEP
GTF3C2	SIN3B
SPAG4	NR3C2
F8	DECR1
KPNA5	SCGB2A2
ACHE	CDH15
TNFRSF12A	SMAD4
EGR3	VAPB
TCEB3B	EIF3I
SERPIND1	PPIC
ZNF184	MED9
OASL	CYR61
ZNF267	SLC3A2
PPP1R3A	STAT4
TXNIP	ITGA2B
ACTN2	CAPNS1
RPL36AL	TRDMT1
CHAD	HAMP
RAP2B	ADIPOR1
GABPA	CACNG1
TLR3	HBP1
CAMK2G	ITPR2
HMGB2	ALOX15B
FGF14	MAP2
POLB	RAN
KIF3B	ERCC1
MTMR9	ABCB11
SEC31A	COL16A1
TAS2R14	LCP2
H1F0	ARHGEF16
POLR2D	ZNF227
TOR1B	TNKS2
TOPORS	AUP1
HNRNPC	THRB
ISG15	CASP4
DNAH2	GTF2E2
FXR1	TUBGCP3
ZMYM3	CIB2
CASP3	MSH2
CACNA2D3	GMIP
SUCLG1	FKBP10
PRPF40A	PIGA
MAGEH1	CUGBP1
TAS2R16	SF4
NPY5R	NRG2
IRF4	UGT8
PRKCE	PAK3
ITGAM	ATP2A2
RGS2	TADA2L
MST1R	RAF1
MGAM	GPRIN2
COL3A1	FBXL11
PTMA	DTNB
NAPA	CSF1R
LIPF	DET1
DIRAS3	CHEK2
PSG9	PDCD6
ARHGEF11	NOL5A
ASGR2	EPS15
PIK3R4	SLC30A3
IVNS1ABP	ACTN4
SIGIRR	ZNF12
PPP1R2	TRPC4
UBE2NL	RNF40
FOSL2	NPPA
TUBA4A	CRIP2
SEPT4	GABRA6
SFRS2	MADCAM1
EEF2	RALY
PRDX3	DGKQ
EPHA3	MCL1
HNF1A	GARS
P4HA2	ENAH
H2AFJ	RPGRIP1
EDIL3	CD55
SMC2	CCT4
SERGEF	CEACAM6
NPFF	PLCG2
DEDD	CAND1
PTPN1	NRL
ZNF174	PPT1
MYH14	PAPSS1
CCR8	SLK
SKAP1	BMPR2
GADD45G	RGPD5
IFITM3	LDB2
DNMT3L	GABRQ
DSC3	TFDP3
TBX4	CENPC1
LHCGR	RPL13
UBE2S	BRCC3
CNR2	DBP
PCDH1	NFYB
ATP6V1B2	HLX
PLCG2	WRNIP1
CAPZA1	DSCAM
GLRX3	IRF7
HRH3	DCI
HTR2B	NXT1
CCR1	FAP
DNAJA2	SMR3B
PGRMC1	MAT2B
ITGA2B	TSR1
CLDN5	POLR2J
PTPRN2	ZFP161
PSAP	ELSPBP1
MYOM2	TGFB1
CHM	LIPA
CCNL1	ROCK1
LYN	SLC25A21
DUSP6	SLC25A11
TGFB3	IGF2
PCDH11Y	PRKG2
ELK1	ZNF589
MYO3A	IL1R1
SERPINE2	SIRT3
COX6B1	TYR
MAPK6	UQCRB
DNASE2	PSMC2
MSH5	KRT81
LGMN	ZNF391
SDCBP	TROVE2
LILRB1	DAD1
PYGL	CAMK2B
NUCB2	ICOS
SNPH	SCN4A
MIZF	SGCE
FOXO4	NPY
ID4	RPL29
NOD1	EIF2S1
PXMP3	TOB1
SOX5	SLIT1
CDH22	TWIST1
NUBP1	NUP214
DSCAM	FDX1
INA	TAS2R8
DGKI	MAF
AKAP1	DLX2
NFIX	TMSB4Y
RIN3	EXT1
PSG2	RRH
PLA2G5	NRCAM
TIMM10	PPY
MED17	CLCN4
LPA	CD38
PIGA	PCDH11X
COL4A4	SNX1
UTS2	TNFSF14
GJA3	ADAM17
RREB1	ATP6V1D
DNMBP	PAPPA
NQO1	ANP32C
SP1	SREBF1
ZSCAN2	MGEA5
SEC24C	PRKAR1B
HSPA9	HIST1H1E
APOBEC1	IGLV3-25
SURF1	THBS1
LSM5	SKIL
ZBTB1	ADRA1B
GTF2F1	IQSEC2
RPS15A	PSEN1
DUSP21	TNFSF18
TAF1	CXCL13
GINS4	ZNF271
MYO15A	ARL5A
AP1G2	IFNB1
RBM42	USP7
HCN2	KLK1
NUP160	NOD2
GRIK5	PPIH
HAND1	TRAP1
FGA	MAN1C1
SERPINB1	PAPOLA
IGFBP1	DES
PRSS7	CYSLTR2
SLC1A1	ALS2CR8
DHX57	SRPK1
PTPN21	GRAP
TBR1	NAB1
FOS	PIGQ
IFNG	DHPS
IQGAP1	TBCE
ZNF226	HSD17B1
EMD	PTRF
APH1A	SHB
TUBB6	GRM4
LATS1	CCR10
BAZ2A	TNFSF10
KCNQ2	SDCBP
SPOCK2	MSX2
FGF2	ARHGEF7
FXYD7	MXRA5
NTN1	TNIP2
ING4	TFAP2A
VPS28	WNT1
FCGR2C	MYO6
DIAPH1	VSIG4
CEP76	ACTR10
CORO1A	SYN2
TRAF4	RAD21
ZNF460	ERCC8
RRM2	CAPN5
OS9	COPE
COG5	SEC61A2
COPS8	NEFM
AKAP9	ARFGAP1
NGLY1	HOXB8
NCBP2	CDC34
GPSM3	TAS2R7
SLC20A1	CDK10
LDB2	NDUFS3
ASB6	HNRNPA1
SPTB	RFC1
EFEMP2	PSMB10
EFNB2	KCNIP1
PCM1	PCDHGA11
TSG101	GDF9
CEBPG	CCRL1
GTF3C4	ATN1
TNFRSF1B	ZNF230
IQSEC1	INHA
PATZ1	ATP1B1
RBM22	ICOSLG
AEBP1	PDCD2
BAG2	BPI
PAQR5	DDIT4
JAM2	STARD8
SNRPN	INHBA
ALX4	TFEC
CACNA1S	CSDE1
TRIM38	KIAA1033
SMG5	APEX2
NCAPD2	AKT2
WNT2B	ABCB9
DCP2	NGB
ASNS	RRP9
RPL18	DGKE
ISG20	GUSB
POLR1D	ARSF
KRR1	IGFBP6
CXCL1	CEACAM5
LDHC	PTGDR
PC	KLHL9
FAH	STMN1
UBE4B	KCNJ4
PAX8	SLC2A2
BTN3A3	ACTR1B
BEX1	CNGB1
SLC2A4	TGM2
SHFM1	LRP6
PKMYT1	ENOX1
DUT	IDH3B
LRRC59	FGF9
LY6H	PAFAH1B1
MAP2	SLC18A2
LYL1	KLRB1
EDEM1	CCL7
NOS3	LAPTM5
ZNF34	TNNI2
ADH1A	FGD2
CYP11B1	SMC4
CDC73	COL5A1
GSTM3	RPP21
KCNA5	THAP11
WRN	ADAMTS7
ANAPC5	HSPH1
NFATC2IP	ACTC1
RIT1	MXD3
MED9	SEMA3G
RAB13	SF3B4
FBXW11	PARD6A
RPL13	GLUD1
PRDX2	PLSCR3
SAP30BP	RPS5
PRMT3	CHML
CDKN1C	NCAPH
HSPH1	REV3L
AQP1	SLAMF1
COL17A1	SMC6
GFAP	SIGIRR
CDC16	GTF3C2
KIF13B	CDX4
PCDH9	EXO1
ADAMTS13	PLEK
TUBG2	PBXIP1
SFRS7	RHOT2
EXTL1	ANAPC10
RANBP10	CRHR1
RARG	MPP1
MYO7A	ONECUT1
ACVR1B	KIF15
CD96	MMP14
PSMD1	MAP4K3
ILVBL	IRAK3
CSNK1G3	LMOD1
IFNGR1	BNIP3L
MATN2	MBD2
RBMX	TRA2A
MPP3	TKT
FGL1	RUVBL1
RAD51L3	COL9A1
PSORS1C2	BCL2
ARHGEF6	CD14
TGFBR2	NEK2
DEAF1	RPL3L
AMN	SPAG16
WWTR1	ANKRD1
CIB1	FOXA2
TSSK1B	EZH1
HLA-DRB1	MEIS1
CTNNAL1	DEFB4
CIT	ORC5L
DRAP1	VAPA
ARHGAP6	DEAF1
MCM3AP	SOD2
MYO1F	PGC
RAB11A	STAT5B
PTBP2	P2RY13
SNX1	MAP3K1
ELF5	ENOX2
HOXB9	LHX3
PARP3	ELF5
RBM8A	RPL18
ITGA9	ATOH1
ZFR	WNT7A
VANGL1	ZNF254
CHAF1B	CPOX
ACSL6	FIBP
NDUFA3	RB1CC1
FABP4	IDH3G
KCNB1	BICD1
CANX	TRIB1
ADIPOR2	GADD45A
CIRBP	HSPE1
FRZB	DLX6
PABPC1	ZNF273
APOBEC3G	KCNAB2
CLDN8	ZNF770
M6PRBP1	FOXO1
PPM1F	ZNF195
TSR1	CD2AP
E2F6	GNAI3
ZFHX3	PSME3
PCSK5	CNOT2
TMEM126B	SLC6A6
GIMAP5	GLP1R
CTPS2	STARD5
NDUFA9	TTK
AURKC	ARVCF
EGLN3	ETV4
FZD6	HIST3H3
PITX3	MFAP2
UNC119	ITGB3BP
NOV	BLK
GRM4	CENPJ
KLK1	MAST1
GPM6B	ATP2C1
EIF2S2	GDF5
CKAP5	NUP54
PNO1	TUBG1
ANK3	SNRPD2
OR2F2	CDH2
GNAT2	SPRED2
KRT5	RNGTT
SIX1	NME3
ST13	CASP8AP2
TIMP2	EIF4A2
CDH12	COPS8
CCL15	HS2ST1
GTF2IRD1	PDE10A
RARS	SIT1
COX4I1	SLC2A1
DSN1	CETN2
STRN4	GPR161
KITLG	ACOX2
HSD11B1	FRS2
HDGF	SERPINI1
KRT6B	LGR5
SUMO4	APC
ARID4B	TRAT1
DDR2	DLEU1
WWP2	ZNF250
CTSH	MTIF2
IFT57	ZNF235
ZNF592	PPP2R5D
TNFSF9	ZNF3
CFP	SNRPD3
MAP4K4	SIGLEC9
MFNG	DPYSL3
ROD1	CDH22
JMJD2B	TIA1
DOCK3	OR7A17
STX16	GADD45G
DLAT	SPG20
KIF21B	PFN1
FEZ2	ETFDH
KCNJ5	ARRB2
CDC5L	RFX3
LMNA	OR2J2
TBCD	TOR1A
ZNF250	NCAM2
NP	PARN
ZNF12	SLCO1C1
SIGLEC7	DKK2
HIP1	ATP1B2
WNK1	GNAT2
RECQL4	GATA3
DPAGT1	IL2RB
TRPS1	PHB2
ACOX2	XRCC4
TFPI2	IFIT3
PDHB	NCBP2
LHX2	SI
ERN1	NPR3
NOTCH3	TRPM2
ADAMTS5	OR1A2
NF2	MYH13
UGCGL1	ZNF335
POM121	SPTBN1
CLPP	CIDEA
ATP1B3	CLK2
CRKL	CRK
HOXB2	SEMA4D
ANP32B	SGCG
NUP62	RABGGTB
AP4E1	PSMC5
RASA3	EIF4EBP1
CDKN3	PIGC
PGD	EPS8
CDH4	COPZ1
MPG	CNOT1
RND1	ZXDC
GAD1	UBQLN2
ZNF133	NPFFR1
AMELY	MPHOSPH1
CLCF1	PAICS
TFF3	CEP250
HEYL	ANAPC2
APPL1	BRF1
TNR	PDGFB
WAC	GARNL1
ADCY9	RIN2
PTPN13	ELF4
SSTR5	SH2D3A
PDYN	IL19
SFRP1	E2F3
VAV3	NR4A1
IDH3B	RAB6A
STXBP3	TCN2
EIF3G	HOXD9
ARHGAP22	MTMR8
NPC1	ZFP36L1
NPFFR1	HSPA8
RASSF1	TLE2
ADD2	GLRX2
ICAM5	SLC33A1
CDKL1	DIABLO
SFRS11	STMN2
IL7	DUSP5
BTG3	SLC9A3
PAK2	THRAP3
GATA4	AQP4
PRKAG1	UQCRC2
EEF1G	IL12RB2
INCENP	BAZ1A
SMAD5	SERPINE2
GARS	HSPB6
CDK10	SPRY1
ELAVL3	NR1H3
HLX	FKBP8
MDM4	HPGD
CDX1	PCDHGA10
PFDN2	LY6H
NDN	PIWIL1
FBLN5	ASGR2
TNNT1	SV2B
RAB7A	S100A13
PMS2	UBE2J1
ARNT2	SPTBN5
CBR1	MYST4
ITPR3	PIB5PA
BIRC3	CTSC
H2AFY	SLC5A1
APBA1	FKBP4
RXRB	SLC25A12
ZNF638	AIRE
RAB2A	CYP2C8
ACTN4	FRZB
FXC1	SAP30
PLCE1	DSTN
INSL3	PSG1
EIF2B5	FGR
DLG1	NCSTN
TFIP11	LY86
VPS33A	PMS2CL
SKIP	INSM1
GAPDHS	MIA
POLR2G	EPRS
GRAP2	ATP5A1
CNTNAP1	SAT1
PSTPIP1	ARHGAP24
CNBP	BAG5
WASF1	TCF3
INPP5E	OR11A1
HSPB1	RAB11FIP2
COX7A2L	IGF1
HSD17B1	RFX5
ARRB2	LDB1
SLC7A6	PTBP1
CUBN	CEP27
IGF1	PLSCR4
ITPK1	CHRNA5
G3BP1	ADCY6
HSD17B10	HCRT
NUP155	ITPR3
GDF15	ADIPOQ
CYCS	CYP1B1
GNAL	EHF
LPO	SLC17A3
GZMM	SELE
PAIP1	ZNF135
TAF9B	MXD1
CACNA2D1	GNLY
IMP4	PSME1
DEC1	CYP7A1
PROP1	CALCOCO1
UBB	ABCD1
RPA4	GPX4
NDUFS1	RND3
UPK1A	KIT
AES	UBAC1
PPP1R13B	SMPD2
ARL2	FBLN5
CD2BP2	CACNA2D3
TOP3A	THAP7
CHRM5	FNBP1
FGFR1	STAB1
UGT2B17	GAST
CEACAM6	ST13
AP3S2	SNF1LK
ZNF208	PLTP
GOT1	UQCRC1
BBC3	IGFBP3
CASP6	RPS11
HOXA1	HIST1H2AC
PI4KB	THEG
OAZ2	PCDH9
BET1L	CTF1
FRY	SLC8A1
AK3L1	RGS10
CSF3R	LOX
DKK2	ARFGEF1
POLR3K	IMPDH2
LBX1	IL7
RHOT1	PPFIA1
DARS	ARD1A
EPS8	ARFIP2
OXT	AHSA1
ARL4A	UBE3B
DAD1	AES
HSD11B2	CACNB2
USE1	CTSG
FAM96B	CENPI
CAND1	RBM5
ACTR10	ADAM9
NASP	DIAPH2
COL9A2	HOXD3
PALLD	BBS4
TBL3	CHRNE
TLR1	TOMM40
KPNA2	CST3
PDIA3	CDK7
SFRS1	REXO2
DCP1A	MMS19
BIRC5	CLCN5
GNAS	MYO7A
KATNB1	SEC31B
WNT8B	NTN1
GHR	RQCD1
BCLAF1	EIF4EBP2
GOLGA3	ZNF672
SCUBE3	BACE1
BBS7	GCK
ZNF345	CDYL
SERPINB9	ISG15
RIPK4	CNOT4
PLEC1	GTSE1
KNTC1	PCM1
EXOSC2	DNAJB6
MS4A2	CDCA3
FGF17	PPP2R4
GTF3C3	HARS2
RBPJ	ARHGAP12
TPI1	PTPRU
GATA6	RBM10
CABP1	SF3B2
RASGRF1	GPR143
DAPK3	PTGIS
C3	HMG20A
GJB1	MACF1
PIN1	MED27
POLE3	OR2F2
RIN2	CLSTN3
CTSL2	ZNF629
TRIM2	SDC2
DNM1	MTHFD1
HYOU1	BRWD1
USP7	NUSAP1
ZSCAN16	SUPT5H
ASCC1	ECE1
YME1L1	GCC2
HNRNPR	ENPP2
SERPING1	MAP3K7IP2
PCBP4	EDEM1
STARD13	EIF3F
ASIP	ITGB5
CDH10	SYN1
SCP2	HNRNPR
KL	TUFM
MAFK	AGPS
SON	XRCC1
SLC6A6	OLIG2
RACGAP1	RPL31
OBP2A	MLXIP
PSMD3	RBL2
RAB35	GBP1
PPP1R9A	INHBC
AVEN	DNAI1
BCAM	MUTYH
PCK2	THBS4
HLA-DRA	DAAM1
GUCY2C	THBD
BARX2	DGCR8
DAO	GRHPR
EDNRA	PSENEN
ZNF331	POLR2L
PPP2R5A	MAST4
HMGN4	GSTO1
DDX39	BECN1
EIF3M	RPL30
SLC17A3	SCNN1A
ZNF24	LSM1
ESRRA	ZNF460
IRF3	TBX3
PIP4K2B	OSBPL8
GPR19	STX1A
GMFG	MAP2K2
APOBEC2	MTNR1A
PENK	RAD52
SMAD9	IL4R
SLAMF1	CR2
RGL1	AIP
DLGAP4	GMFG
LIF	TTRAP
BACE2	EIF4ENIF1
APPBP2	HAT1
OXTR	RPP14
ACTC1	TOP1
CNTFR	ICK
ZNF395	MRPS11
SUV39H2	PCDHB12
ERO1L	GNA11
HIST1H2BL	IGHM
WNT3	OXT
ZNF549	LIMD2
ZNF467	KNG1
SLC25A21	CDH19
IL5	PPP2R5A
CLSTN2	SLC12A2
PTGES	LRRC59
OPRK1	ECD
MFAP5	ARL4D
CST3	HOXC6
WDR6	SUPT16H
NUP88	GNAT1
CD300A	KRT16
DHX16	NDUFA10
CLEC3B	NOVA1
ZNF79	OTUB1
CRP	SIRT6
OCRL	CLSPN
NEBL	POLH
HSPA8	SYNJ1
CBFA2T2	SULT2B1
PNOC	ARIH2
PRRG1	TBL1XR1
PIGP	ZNF696
AGGF1	NCKIPSD
DPF2	INADL
MYH13	PIK3C2B
UGT2B4	TAS2R13
TRPV5	NHEJ1
PJA2	ATF5
MED12	CACNA1F
SCYE1	PTPRN
MYH1	XCL1
CYP7A1	HIST1H2AB
PHF1	PAK1
RHOBTB2	CYLD
FRYL	KCTD17
MMP27	RBM8A
ZNF432	RBM7
FUBP1	MAPK8IP1
IGLL1	MAG
IL27RA	VARS
STON1	IGFBP2
IL5RA	PDE6B
PERP	IER3
SMPD2	TAF5
TNFSF12	ZNF415
CSRP3	PSG6
FN1	SNRPN
MMP20	RAD51L3
DHFR	SLC6A4
ALPP	ASH1L
ASH1L	ECH1
PPP1R12A	CUL1
CHRNA2	PRDX4
ZNF7	IMPA2
DGKD	FOXJ3
ATP1A1	RHOQ
PLXNB3	KLF12
ZNF672	CDH4
FAIM3	CDKN1A
UBQLN2	HADHB
ACVR2A	ZNF202
NR1I3	ERG
YWHAZ	ITGB2
GNAO1	CTSL1
RPS6KA6	DNAH3
RPL10	NFASC
PFKL	TUFT1
AURKB	SSR3
IFI16	LTC4S
CSTA	ASCL3
DISC1	DHFR
CAPN6	EGF
CLTCL1	SLC1A2
NUAK1	CAB39
NPPA	S100P
PPL	VPS4A
LAMB3	HNF1A
RRAD	RFC2
CARD14	HRH1
RBM9	EPB49
LCN1	ARSA
CCDC6	HLA-B
NCOA3	JAG1
RASSF4	JMJD1A
MTHFD1	PON1
PLA2G6	IDE
TPT1	ARHGAP26
SEC63	PAX2
PAFAH1B3	PLAA
CEBPD	RASGRP3
ZNF107	ATP8B4
G6PC2	TWSG1
GRWD1	BAZ2B
BCKDK	EYA2
CTSB	CRIP1
PFKFB1	TNFSF11
ZFP36	HCN2
PXN	SMURF1
SVEP1	TGFBRAP1
TNF	BTBD1
SIRT2	SGMS1
GANAB	ARHGAP28
DIXDC1	H2AFX
NGFR	RAD51AP1
GRM6	SV2C
ATP8B4	GOLGA4
MEIS1	CYFIP2
BMP8A	VASP
NGFRAP1	USH2A
EDAR	SLC25A17
NEDD4L	ATP6V1A
IL1A	RAC1
GNRH1	CASP3
CACNA1H	IKZF4
PDGFD	KPNB1
ERCC1	MPHOSPH10
CAV3	KPNA5
HARS	BMP2K
CREBBP	CENPQ
ITGB1	NR5A1
ZNF254	DLD
PARK7	FLT3
PAX1	ARF1
PSMC4	PCSK7
KCNH4	SERTAD3
TUBA1A	GPR37
PRMT8	S100A2
SELP	DPT
PSMD8	CAPN9
SOX10	ASPH
HTR1E	DDR1
RABGEF1	JARID2
MAP1LC3B	KRAS
MYST3	CHAF1A
FNTB	CASC3
TRAPPC2	ACR
KRT8	C2
AURKAIP1	RIN3
EPB49	VAMP1
ATG7	EIF2B3
GLI1	SEMA4F
SPP1	SLC7A9
ZNF157	RNASE2
SFTPD	ANAPC5
MCFD2	BTRC
EPS15	S100A7
SFRS2B	TEAD4
ASPSCR1	GORASP2
CBX1	CUL7
ENO2	ZNF468
PTGS2	DSC3
BMP7	G3BP1
UBE2D3	PIGP
LRP5	CD6
ARFGEF2	CCL27
ARR3	MYO1C
MAP1A	ARHGAP17
CD2	PLCL2
NEFL	EPHB4
COX7B	TGM3
ATP6V1A	MUSK
TRGV3	SFRP4
ADH1C	SYMPK
ATXN7	KCNJ5
IL21R	MOAP1
CHN2	MSMB
TGIF2	NGFR
CYP2C9	MAP1A
DNMT3A	KDELR3
CNOT7	ZNF26
FCAR	SH3GL2
SFRS10	DIRAS2
RUNX1T1	RABEP1
CTSK	ZNF137
HNF4G	ODF2
LRCH4	SIRPA
PSIP1	PKNOX1
AP2B1	CCT8L2
EIF2C3	AKAP3
S100B	MMP2
BMP2	SIP1
POP7	FOXD3
ESR1	TRPC4AP
ARHGAP12	TRAM2
SLCO1B1	KCTD13
NACA	OPRD1
SST	TUBB2B
KCNN3	CCNE2
PRF1	TBPL1
LST1	TG
CDK4	MPP5
PARC	PARP3
PRMT1	KLF6
ITIH3	DIS3
EDA2R	FLII
KCNAB1	ERN1
DMTF1	EPHA3
GPR1	UBE3A
HTR5A	MYO15A
MXRA5	COL9A3
GRM1	E2F2
RAPSN	BANP
SCFD1	IPO13
PDE4D	HOXA2
TRPC4	EIF4E
EPHB3	EHMT2
GEMIN4	LPL
RAMP3	NR1I3
CNTN5	RNASE4
ITGB8	HTR1B
TNFRSF10C	DYNC1I2
PDE3A	KRR1
FRS3	ALDOA
HIPK3	S100A10
RRH	PIM1
XPOT	FOLR1
FGFR4	TRIM27
SLC19A1	CCNK
LIMS1	EI24
PIK3CD	PSMA2
SLC7A11	ZNF24
FHL5	ZNF423
OR10H2	ACHE
ACAN	MAP3K8
TINAGL1	COMP
ARPC1A	ACVR1B
SPATA2	IQSEC1
RUFY1	DPF2
NTS	DDX3Y
TNFRSF8	OMG
BCL11B	DMP1
PTGIR	EHD1
PRM1	HEY2
EVX1	PRKX
ACAA2	BMP3
GPR18	ZNF140
PIGK	LTA
HIST1H2AG	FOXF1
PLS3	DDX43
DAG1	TRIP12
WWOX	NDUFA1
GTSE1	HLF
PLOD2	PRPF3
CHIT1	OGDHL
RPS24	KCNIP2
KLF9	HSPBP1
MIA	MAP2K3
PYROXD1	NLGN1
PCSK2	SNRPF
PI3	BCKDHB
RPL24	ACAN
CD86	IL21R
LFNG	OR7A10
GYG2	FAM96B
RAB4B	CREB3L2
CTSF	CANX
GNA13	HNF4G
CHD1L	SLC25A31
CNKSR2	AMPH
IBSP	CACNA1A
AGA	PAK7
GFRA2	PABPC4
WWP1	SMO
B9D2	NOL3
STAT1	ARL1
PTTG1	NCL
COL8A1	PPARGC1A
RBPJL	NUP153
SSBP2	GTF3C4
CASP8AP2	NCAM1
MMP12	ETV1
NME4	TCF12
GABRA1	POM121
HABP2	BAT2
SMARCA1	PLEKHB1
APOF	RNF13
GCDH	MX2
WEE1	CNGA3
SSR4	MSN
RGS1	PEX5
PLXND1	CDK9
BSG	TLN1
TEAD4	BCKDHA
PDE7B	LGALS3BP
DTX4	GALR3
EFEMP1	KATNB1
TULP2	CDX1
RERE	RAB3GAP2
TIMM8A	INHBB
FGFBP1	FLNB
BNC1	TTR
COMMD8	DACH1
TRIP11	RIMS2
SYP	RBPJL
PCDHB6	UPK2
FKBP8	IREB2
POT1	PIAS2
KIAA1109	RPS9
PTPRC	MARK4
CCT7	KRT8
MMP11	POU2AF1
EEF1A2	RPL35
MYO1E	TAAR5
MIPEP	GRK5
UCHL3	HOXA10
XCL1	GEMIN4
CARHSP1	RUNDC3A
GREM2	CIAO1
SDS	TSPYL2
SHC2	AOF2
SLC25A40	PFKFB3
INPPL1	CBX3
COL9A3	CD180
IHH	PRKCG
BUB3	BLM
ADARB1	SDHC
GGT1	HERC3
VPS35	SF3A3
WNT1	PDGFA
DBP	ERCC5
COL5A3	BBC3
RHOD	CYB5R3
COL4A2	RBM42
SLC1A6	ANK3
LUM	DUSP8
C1S	CABP1
TCF7L1	ENO3
ME2	MAN2A2
KPNA4	FRS3
DTX2	TAP2
H3F3A	SPI1
RABIF	ZNF442
PKIG	ARHGAP11A
RPLP0	CD84
U2AF2	STK39
ZNF528	UBR5
MKNK2	PTPN7
SEC16A	RPA4
EFNA5	SLC25A10
ZNF44	SETD1A
CCS	ITSN1
FCGRT	SPRR1A
IGF2BP2	EMILIN1
OR1D5	TINF2
SIX6	PDYN
CCR6	XDH
COL11A2	FGF12
CHRNA6	ARL17
PLD2	PMAIP1
ORC1L	UGCG
PUM2	ATG7
PHC1	IRS1
LDLRAP1	ANG
PPP3CB	NOD1
ANGPTL4	IGF2BP3
HHEX	ZNF430
PLCH1	AKR1A1
INSM1	BLVRB
ZNF493	S100A1
TLN2	DVL1
HDAC4	ZNF165
RPS6	DNAH2
CTNNBIP1	MVP
SCGB1A1	EFNB1
HMGN2	SOD1
NEUROD2	PRKY
RICH2	CHN2
TBCE	MAP1B
MAPK1	TTF1
SAG	TIMM13
CTRC	RALA
HNRNPA2B1	GTF3C5
GADD45A	LHB
MSH4	RYBP
HOXD12	SFRS6
SBF1	ATP6V1H
GNG3	CLCF1
PPP3R1	ARHGEF3
GNAZ	MYBL2
LILRB3	SPOP
DHX8	SCNN1D
SPI1	ZNF45
GYS2	PCSK5
UBE3B	PRMT8
NUPL2	RCHY1
PLAT	PAH
COPE	CLCA1
SF3A1	ERCC3
EIF3A	SRF
IKBKB	KLC1
PPFIA2	MRPL12
ZNF271	PKD2
THBS4	PPIG
ARHGAP1	GNRHR
ENOX1	ZNF91
DOK1	RRM1
PGAP1	RNF25
HOXD10	PLEK2
FSCN1	DOCK2
CXCR3	SLC25A37
KIF17	CD83
CHI3L2	KCTD5
CBR3	BAD
ZNF132	FUS
BNIP1	MYL7
AQP3	ACP5
KIAA0391	GANAB
SIRPA	LGI2
IGFBP6	PARVB
APOH	MSH6
PLCD1	POLR2B
ARHGEF15	INPP1
NPHS2	EMX2
NDUFV1	MYCBP2
RAB3GAP2	BAG2
REXO4	CHRND
HSPA14	HK2
TAAR5	ROCK2
SELPLG	ZFP36
BAZ2B	CDH1
POU6F2	ITGB3
TCEB1	EIF3A
F13B	FABP6
TAX1BP3	ZNF674
RPL34	SOX3
MARK2	CHRNB2
AKAP12	MEF2B
WDR77	MYLC2PL
HMG20A	PSMD8
ATF2	HLA-DQB1
ARL6IP5	CAPN3
AP1B1	CDK4
CCNT1	HOXC11
DYNLL1	TNNC1
CD74	SRP9
PLSCR1	SMUG1
LIPG	WWP1
FEZ1	PIK3C3
APOD	GSTA3
MAPK8	POLA2
RBBP8	IFNA10
DNAJC8	CDKL1
KCNJ12	XPA
WNT11	SF3A1
SRP54	TYROBP
GPR35	WNK1
IFNW1	TRADD
ACVR1	LCP1
SCN1B	PLCD1
STAR	CCNA2
TAAR2	PNLIP
TUBA1C	MUC7
PIK3R2	FN1
ARD1A	CPA4
SYTL2	ZNF214
EBF2	LEP
CYP3A43	SMG5
AKR1B1	OXSR1
KAL1	CUL3
GRID2	SDC3
ZNF423	PLXNB2
PSMB4	GOSR2
CYBB	UBE2S
SART1	JAK1
SPTA1	HLA-G
SHB	PIP5K1A
SEMA6D	CNBP
IKZF4	FZD7
NDUFA1	ITGAE
HSPE1	GRIA2
MYCN	FMNL1
MAPK13	HOXB5
KCNJ3	MYO3A
ZNF573	SMAD3
PCDHGA8	TK1
NTF3	IGFBP5
